,movie_id,start_year,genres,averagerating,numvotes,title,studio,domestic_gross,foreign_gross
245,tt1211956,2013,"Action,Crime,Mystery",6.7,211587,Escape Plan,LG/S,25100000,112200000
246,tt1212419,2010,"Drama,Fantasy,Romance",6.5,87288,Hereafter,WB,32700000,72500000
247,tt1212428,2016,"Adventure,Biography,Drama",6.6,66475,The Lost City of Z,BST,8600000,10700000
248,tt1212450,2012,"Crime,Drama",7.3,214055,Lawless,Wein.,37400000,16300000
249,tt1213012,2010,"Adventure,Animation,Comedy",5.3,12463,Alpha and Omega,LGF,25100000,25400000
250,tt1213641,2018,"Biography,Drama,History",7.4,120009,First Man,Uni.,44900000,60800000
251,tt7027210,2017,Documentary,6.6,186,First Man,Uni.,44900000,60800000
252,tt1213648,2010,"Crime,Drama",6.2,44610,London Boulevard,IFC,16100,4600000
253,tt1213663,2013,"Action,Comedy,Sci-Fi",7.0,235308,The World's End,Focus,26000000,20100000
254,tt1214962,2011,"Action,Crime,Drama",6.2,42846,Seeking Justice,Anch.,412000,11900000
255,tt1216475,2011,"Adventure,Animation,Comedy",6.2,138914,Cars 2,BV,191500000,370700000
256,tt1216492,2010,"Comedy,Romance",6.5,86125,Leap Year,Uni.,25900000,6700000
257,tt1217209,2012,"Adventure,Animation,Comedy",7.1,338728,Brave,BV,237300000,303200000
258,tt1219289,2011,"Mystery,Sci-Fi,Thriller",7.4,492490,Limitless,Rela.,79200000,82600000
259,tt4597838,2015,"Biography,Documentary",6.7,10,Limitless,Rela.,79200000,82600000
260,tt6084030,2017,Documentary,3.9,8,Limitless,Rela.,79200000,82600000
261,tt1219342,2010,"Action,Adventure,Animation",7.0,73790,Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000,84400000
262,tt1220634,2010,"Action,Adventure,Horror",5.9,153270,Resident Evil: Afterlife,SGem,60100000,240100000
263,tt1220888,2010,"Comedy,Crime,Drama",6.0,17764,Henry's Crime,MPFT,103000,102000
264,tt1222815,2012,Documentary,7.2,5539,Chimpanzee,BV,29000000,5900000
265,tt1222817,2011,"Comedy,Family,Romance",5.2,52396,Zookeeper,Sony,80400000,89500000
266,tt1223236,2011,"Adventure,Documentary",7.6,5784,African Cats,BV,15400000,15400000
267,tt1226229,2010,"Adventure,Comedy,Music",6.4,161653,Get Him to the Greek,Uni.,61000000,30300000
268,tt1226273,2010,"Crime,Drama,Mystery",6.6,84753,Edge of Darkness,WB,43300000,37800000
269,tt1226753,2010,"Drama,Thriller",6.9,61046,The Debt,Focus,31200000,14500000
270,tt1228705,2010,"Action,Adventure,Sci-Fi",7.0,657690,Iron Man 2,Par.,312400000,311500000
271,tt1228987,2010,"Drama,Fantasy,Horror",7.1,107012,Let Me In,Over.,12100000,12000000
272,tt7122852,2017,Horror,5.1,7,Let Me In,Over.,12100000,12000000
273,tt1229238,2011,"Action,Adventure,Thriller",7.4,428142,Mission: Impossible - Ghost Protocol,Par.,209400000,485300000
274,tt1229340,2013,Comedy,6.3,156116,Anchorman 2: The Legend Continues,Par.,125200000,46300000
275,tt1229822,2011,"Drama,Romance",7.4,74998,Jane Eyre,Focus,11200000,23500000
276,tt1230120,2010,Action,5.5,12,Collide,ORF,2300000,2500000
277,tt2126235,2016,"Action,Crime,Thriller",5.7,13288,Collide,ORF,2300000,2500000
278,tt1231583,2010,"Adventure,Comedy",6.5,303523,Due Date,WB,100500000,111200000
279,tt1231587,2010,"Comedy,Sci-Fi",6.4,153962,Hot Tub Time Machine,MGM,50300000,14300000
280,tt1232200,2012,Comedy,5.6,83009,That's My Boy,Sony,36900000,20800000
281,tt1232829,2012,"Action,Comedy,Crime",7.2,477771,21 Jump Street,Sony,138400000,63100000
282,tt1233192,2010,"Crime,Drama,Thriller",5.7,5784,Brighton Rock,IFC,230000,1600000
283,tt1234654,2010,"Comedy,Drama,Romance",6.1,33702,Greenberg,Focus,4200000,1900000
284,tt1235189,2010,"Action,Comedy,Crime",6.8,33915,Wild Target,Free,109000,3300000
285,tt1235830,2010,"Animation,Crime,Drama",7.2,7992,Chico & Rita,GK,351000,1900000
286,tt1240982,2011,"Adventure,Comedy,Fantasy",5.5,92940,Your Highness,Uni.,21600000,3300000
287,tt1242432,2010,"Horror,Thriller",6.3,68592,I Spit on Your Grave,Anch.,93100,480000
288,tt1242460,2011,"Drama,Mystery,Thriller",7.5,123619,We Need to Talk About Kevin,Osci.,1700000,4300000
289,tt1243957,2010,"Action,Adventure,Thriller",6.0,206714,The Tourist,Sony,67600000,210700000
290,tt1243974,2015,"Comedy,Drama,Romance",5.4,54646,Aloha,Sony,21100000,5200000
291,tt1244659,2010,Drama,6.5,15673,Extraordinary Measures,CBS,12100000,3100000
292,tt1244754,2010,"Biography,Crime,Drama",7.2,39771,Conviction,FoxS,6800000,2900000
293,tt1245534,2011,Comedy,5.5,61,Snatched,Fox,45900000,15000000
294,tt2334871,2017,"Action,Adventure,Comedy",4.5,29997,Snatched,Fox,45900000,15000000
295,tt7130262,2018,Thriller,5.5,142,Snatched,Fox,45900000,15000000
296,tt1247690,2014,"Drama,History,Romance",5.4,24288,Serena,Magn.,176000,4900000
297,tt5749696,2016,"Biography,Documentary,Sport",6.7,193,Serena,Magn.,176000,4900000
298,tt1250777,2010,"Action,Comedy",7.6,497363,Kick-Ass,LGF,48100000,48100000
299,tt1253864,2011,"Action,Drama,Fantasy",6.0,152992,Immortals,Rela.,83500000,143400000
300,tt1258972,2012,Action,5.4,58185,The Man with the Iron Fists,Uni.,15600000,4099999
301,tt1259521,2011,Horror,7.0,338445,The Cabin in the Woods,LGF,42100000,24400000
302,tt1259528,2018,"Action,Crime,Drama",7.0,69648,Den of Thieves,STX,44900000,35600000
303,tt1261945,2010,"Comedy,Drama,Romance",4.4,69199,Sex and the City 2,WB (NL),95300000,193000000
304,tt1262416,2011,"Horror,Mystery",6.2,118779,Scream 4,W/Dim.,38200000,59000000
305,tt1265990,2011,"Drama,Thriller",4.9,33062,The Roommate,SGem,37300000,3200000
306,tt1268204,2010,Documentary,7.9,8007,Waste Land,Arth.,188000,88700
307,tt2294939,2014,"Drama,Thriller",5.5,257,Waste Land,Arth.,188000,88700
308,tt1268799,2011,"Adventure,Comedy",6.3,62151,A Very Harold & Kumar 3D Christmas,WB,35100000,326000
309,tt1270761,2010,"Fantasy,Horror,Thriller",5.6,44490,Don't Be Afraid of the Dark,FD,24000000,12900000
310,tt1272878,2013,"Action,Comedy,Crime",6.7,182025,2 Guns,Uni.,75600000,56300000
311,tt1273678,2010,"Action,Comedy,Family",5.5,36767,The Spy Next Door,LGF,24300000,20900000
312,tt1274300,2010,"Comedy,Drama,Fantasy",5.4,7073,The Tempest,Mira.,278000,68700
313,tt3840898,2014,"Comedy,Drama",8.5,171,The Tempest,Mira.,278000,68700
314,tt1276104,2012,"Action,Crime,Drama",7.4,500595,Looper,TriS,66500000,110000000
315,tt1277953,2012,"Adventure,Animation,Comedy",6.8,146858,Madagascar 3: Europe's Most Wanted,P/DW,216400000,530500000
316,tt1278379,2010,"Drama,Romance",6.4,7644,Jack Goes Boating,Over.,542000,77600
